"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","player_A_cluster","player_B_cluster","predict_proba_R","predict_R"
20230807,"Canada Masters","Hard",FALSE,"Ben Shelton","Carlos Alcaraz",1410.84896100379,1864.11734565512,0,-453.26838465133,0,0,0.0671223260325295,0
20230814,"Cincinnati Masters","Hard",FALSE,"Max Purcell","Carlos Alcaraz",1432.59952233685,1846.4236790102,0,-413.824156673349,0,0,0.0824218449718314,0
20230828,"Us Open","Hard",TRUE,"Bernabe Zapata Miralles","Novak Djokovic",1458.76097934827,1857.66860076073,0,-398.907621412465,1,0,0.0179600372383629,0
20230828,"Us Open","Hard",TRUE,"Lloyd Harris","Carlos Alcaraz",1464.36643225635,1852.33484542455,0,-387.968413168198,0,0,0.0216972685640008,0
20230828,"Us Open","Hard",TRUE,"Alexandre Muller","Novak Djokovic",1481.94631451224,1860.41150431551,0,-378.46518980327,1,0,0.0217717097604236,0
20230828,"Us Open","Hard",TRUE,"Ben Shelton","Novak Djokovic",1476.30620616893,1842.45042116753,0,-366.144214998601,0,0,0.0266226467529381,0
20231002,"Shanghai Masters","Hard",FALSE,"Gregoire Barrere","Carlos Alcaraz",1481.96405017115,1834.38945481402,0,-352.425404642877,0,0,0.112592920771613,0
20230619,"Queen's Club","Grass",FALSE,"Arthur Rinderknech","Carlos Alcaraz",1442.37567921371,1780.27426893162,0,-337.898589717913,1,0,0.111988242730219,0
20231002,"Shanghai Masters","Hard",FALSE,"Daniel Evans","Carlos Alcaraz",1524.34784023351,1852.34829625875,0,-328.000456025241,1,0,0.117645814183392,0
20230703,"Wimbledon","Grass",TRUE,"Alexandre Muller","Carlos Alcaraz",1526.42942140546,1850.26410387884,0,-323.834682473379,0,0,0.0394442736322539,0
20230927,"Beijing","Hard",FALSE,"Yannick Hanfmann","Carlos Alcaraz",1531.48832749819,1855.23877016615,0,-323.750442667955,0,0,0.129743228414898,0
20230920,"Chengdu","Hard",FALSE,"Miomir Kecmanovic","Alexander Zverev",1452.53560858414,1767.72348289514,0,-315.187874310994,1,0,0.125335589171522,0
20230724,"Hamburg","Clay",FALSE,"Daniel Altmaier","Andrey Rublev",1446.23606891973,1742.11097870293,1,-295.874909783197,1,2,0.186147557934373,0
20230916,"Davis Cup Finals RR: AUS vs SUI","Hard",FALSE,"Marc Andrea Huesler","Alex De Minaur",1377.62285035343,1671.11833603962,0,-293.495485686181,0,1,0.174572190684531,0
20231002,"Shanghai Masters","Hard",FALSE,"Marcos Giron","Jannik Sinner",1486.5530486081,1779.53060620232,0,-292.977557594224,1,0,0.139684309293707,0
20230619,"Queen's Club","Grass",FALSE,"Maxime Cressy","Holger Rune",1404.02308185008,1696.57089931469,0,-292.547817464606,2,0,0.129738222058618,0
20231030,"Paris Masters","Hard",FALSE,"Tallon Griekspoor","Novak Djokovic",1594.65398631507,1887.00344382691,0,-292.349457511843,0,0,0.151022563967438,0
20230529,"Roland Garros","Clay",TRUE,"Thiago Seyboth Wild","Daniil Medvedev",1500,1791.98552436938,1,-291.985524369375,1,1,0.0575948957642266,0
20231106,"Metz","Hard",FALSE,"Constant Lestienne","Karen Khachanov",1346.86776170978,1633.53699881014,0,-286.669237100363,1,0,0.144003245801636,0
20230508,"Rome Masters","Clay",FALSE,"Fabian Marozsan","Carlos Alcaraz",1500.03794166017,1783.4730714895,1,-283.435129829326,1,1,0.170123395721937,0
20231002,"Shanghai Masters","Hard",FALSE,"Cristian Garin","Daniil Medvedev",1534.2326367763,1816.80419049282,0,-282.571553716525,0,1,0.183604137423635,0
20230320,"Miami Masters","Hard",FALSE,"Roberto Carballes Baena","Daniil Medvedev",1448.72451539717,1731.17358722019,0,-282.449071823024,1,1,0.17090788967785,0
20230814,"Cincinnati Masters","Hard",FALSE,"Gael Monfils","Novak Djokovic",1540.46506626475,1818.9117229061,0,-278.446656641349,0,0,0.161325123363242,0
20230703,"Wimbledon","Grass",TRUE,"Daniel Elahi Galan","Jannik Sinner",1373.37108776516,1651.48609178525,0,-278.115004020088,0,1,0.0708308797266835,0
20230807,"Canada Masters","Hard",FALSE,"Hubert Hurkacz","Carlos Alcaraz",1588.68872109643,1866.17376241107,0,-277.485041314642,0,0,0.162058298312338,0
20230807,"Canada Masters","Hard",FALSE,"Tommy Paul","Carlos Alcaraz",1599.81568225505,1871.22440620602,1,-271.408723950971,1,0,0.154910923094367,0
20230619,"Halle","Grass",FALSE,"Roberto Bautista Agut","Daniil Medvedev",1470.55504090409,1741.95683491443,1,-271.401794010344,0,1,0.193209569992532,0
20230612,"s Hertogenbosch","Grass",FALSE,"Adrian Mannarino","Daniil Medvedev",1497.79523221786,1766.69519626677,1,-268.899964048902,0,1,0.195412670781719,0
20230807,"Canada Masters","Hard",FALSE,"Marcos Giron","Holger Rune",1471.70042842056,1732.89996130793,1,-261.199532887368,1,0,0.16257857362181,0
20231002,"Shanghai Masters","Hard",FALSE,"Diego Schwartzman","Taylor Fritz",1430.0208390843,1691.12399768303,1,-261.10315859873,1,0,0.162652391804823,0
20230828,"Us Open","Hard",TRUE,"Marc Andrea Huesler","Hubert Hurkacz",1383.08389464108,1644.11604593874,0,-261.032151297656,0,0,0.0698237594311305,0
20230529,"Roland Garros","Clay",TRUE,"Aleksandar Kovacevic","Novak Djokovic",1462.1096867698,1722.84637660908,0,-260.736689839272,2,2,0.08293314301961,0
20230920,"Chengdu","Hard",FALSE,"Pavel Kotov","Alexander Zverev",1487.03257530479,1746.19425659557,0,-259.161681290781,1,0,0.164145229159213,0
