"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","surface_cluster_A","surface_cluster_B","predict_proba_R","predict_R"
20240527,"Roland Garros","Clay",TRUE,"Richard Gasquet","Jannik Sinner",1428.23237223025,1990.8043938908,0,-562.572021660548,1,1,0.0166508088383889,0
20240304,"Indian Wells Masters","Hard",FALSE,"Luca Nardi","Novak Djokovic",1426.97835804671,1988.38740859975,1,-561.409050553043,1,1,0.0750190995333407,0
20240527,"Roland Garros","Clay",TRUE,"Christopher Eubanks","Jannik Sinner",1460.3588698409,1994.27213511337,0,-533.91326527247,1,1,0.0204318813357356,0
20240115,"Australian Open","Hard",TRUE,"Dino Prizmic","Novak Djokovic",1469.34577458438,1989.501544355,0,-520.155769770623,0,1,0.0041372731017599,0
20240304,"Indian Wells Masters","Hard",FALSE,"Aleksandar Vukic","Novak Djokovic",1456.7822652935,1959.52707746367,0,-502.744812170175,1,1,0.0947255203537232,0
20230703,"Wimbledon","Grass",TRUE,"Jeremy Chardy","Carlos Alcaraz",1471.10830401996,1973.75462775189,0,-502.646323731931,3,1,0.002336314502626,0
20230102,"Adelaide 1","Hard",FALSE,"Quentin Halys","Novak Djokovic",1393.34537549935,1891.65204821108,0,-498.306672711726,2,1,0.0690260483024765,0
20230828,"Us Open","Hard",TRUE,"Bernabe Zapata Miralles","Novak Djokovic",1483.58878135343,1980.73727184407,0,-497.148490490643,2,1,0.0170510606896622,0
20240926,"Beijing","Hard",FALSE,"Roman Safiullin","Jannik Sinner",1541.17668614151,2032.64531242633,0,-491.468626284811,1,1,0.0990091460968668,0
20240826,"Us Open","Hard",TRUE,"Christopher Oconnell","Jannik Sinner",1513.71042092553,2003.91109504881,0,-490.200674123276,1,1,0.0255799724508924,0
20240826,"Us Open","Hard",TRUE,"Li Tu","Carlos Alcaraz",1442.42246222008,1925.94784418383,0,-483.525381963754,0,1,0.00539383974636587,0
20230320,"Miami Masters","Hard",FALSE,"Facundo Bagnis","Carlos Alcaraz",1374.89530403612,1855.03879509501,0,-480.143491058885,3,1,0.143495363896286,0
20240701,"Wimbledon","Grass",TRUE,"Vit Kopriva","Novak Djokovic",1448.36041717016,1922.9435413296,0,-474.583124159447,0,1,0.00575009721271212,0
20240826,"Us Open","Hard",TRUE,"Radu Albot","Novak Djokovic",1469.64025186543,1942.7332684946,0,-473.093016629173,2,1,0.0202460237971149,0
20240926,"Beijing","Hard",FALSE,"Nicolas Jarry","Jannik Sinner",1552.71807622996,2021.78121898395,0,-469.063142753986,1,1,0.108034476767194,0
20240304,"Indian Wells Masters","Hard",FALSE,"Roberto Carballes Baena","Daniil Medvedev",1452.84231603991,1921.81436128863,0,-468.972045248724,2,1,0.0776761136615974,0
20240304,"Indian Wells Masters","Hard",FALSE,"Thanasi Kokkinakis","Jannik Sinner",1539.26976939053,2004.13636231387,0,-464.866592923334,2,1,0.0789631397711191,0
