tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,score,best_of,round,minutes,player_A_id,player_B_id,player_A_seed,player_B_seed,player_A_entry,player_B_entry,player_A_name,player_B_name,player_A_hand,player_B_hand,player_A_ht,player_B_ht,player_A_ioc,player_B_ioc,player_A_age,player_B_age,player_A_rank,player_B_rank,player_A_rank_points,player_B_rank_points,player_A_ace,player_B_ace,player_A_df,player_B_df,player_A_svpt,player_B_svpt,player_A_1stIn,player_B_1stIn,player_A_1stWon,player_B_1stWon,player_A_2ndWon,player_B_2ndWon,player_A_SvGms,player_B_SvGms,player_A_bpSaved,player_B_bpSaved,player_A_bpFaced,player_B_bpFaced,winner,player_A_win
2023-9900,United Cup,Hard,18,A,20230102,300,7-6(4) 7-6(6),3,F,135.0,126610,126203,5.0,3.0,,,Matteo Berrettini,Taylor Fritz,R,R,196.0,196.0,ITA,USA,26.7,25.1,16.0,9.0,2375.0,3355.0,7.0,15.0,2.0,2.0,97.0,85.0,62.0,52.0,47.0,45.0,15.0,16.0,12.0,12.0,9.0,0.0,9.0,0.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,299,6-2 0-0 RET,3,F,34.0,126207,207518,,,,,Frances Tiafoe,Lorenzo Musetti,R,R,188.0,185.0,USA,ITA,24.9,20.8,19.0,23.0,2000.0,1865.0,3.0,0.0,1.0,0.0,27.0,21.0,19.0,12.0,15.0,8.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,A,1
2023-9900,United Cup,Hard,18,A,20230102,296,7-6(5) 7-6(5),3,SF,104.0,128034,126203,2.0,3.0,,,Hubert Hurkacz,Taylor Fritz,R,R,196.0,196.0,POL,USA,25.8,25.1,10.0,9.0,2905.0,3355.0,17.0,11.0,1.0,0.0,82.0,80.0,62.0,50.0,51.0,44.0,7.0,19.0,12.0,12.0,2.0,4.0,2.0,4.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,295,6-3 6-3,3,SF,79.0,200390,126207,,,,,Kacper Zuk,Frances Tiafoe,R,R,183.0,188.0,POL,USA,23.9,24.9,245.0,19.0,220.0,2000.0,3.0,5.0,3.0,4.0,68.0,61.0,41.0,37.0,26.0,31.0,12.0,11.0,9.0,9.0,6.0,5.0,9.0,5.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,292,4-6 7-6(2) 6-4,3,SF,155.0,126610,126774,5.0,1.0,,,Matteo Berrettini,Stefanos Tsitsipas,R,R,196.0,193.0,ITA,GRE,26.7,24.3,16.0,4.0,2375.0,5550.0,7.0,9.0,2.0,1.0,89.0,98.0,58.0,52.0,48.0,43.0,18.0,28.0,16.0,16.0,1.0,1.0,2.0,2.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,291,6-1 6-1,3,SF,62.0,207518,208852,,,,,Lorenzo Musetti,Stefanos Sakellaridis,R,R,185.0,196.0,ITA,GRE,20.8,18.3,23.0,803.0,1865.0,23.0,2.0,2.0,1.0,1.0,41.0,43.0,25.0,26.0,18.0,15.0,12.0,5.0,7.0,7.0,1.0,4.0,1.0,9.0,A,1
2023-9900,United Cup,Hard,18,A,20230102,288,6-0 6-7(4) 7-5,3,RR,151.0,106432,126774,8.0,1.0,,,Borna Coric,Stefanos Tsitsipas,R,R,188.0,193.0,CRO,GRE,26.1,24.3,26.0,4.0,1685.0,5550.0,7.0,20.0,2.0,1.0,88.0,94.0,59.0,60.0,44.0,45.0,10.0,20.0,15.0,15.0,2.0,5.0,7.0,6.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,287,6-4 6-2,3,RR,89.0,208852,127339,,,,,Stefanos Sakellaridis,Borna Gojo,R,R,196.0,196.0,GRE,CRO,18.3,24.8,803.0,144.0,23.0,381.0,4.0,4.0,1.0,1.0,78.0,50.0,50.0,30.0,30.0,27.0,12.0,11.0,9.0,9.0,6.0,1.0,9.0,1.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,284,6-4 3-6 6-3,3,RR,116.0,128034,126610,2.0,5.0,,,Hubert Hurkacz,Matteo Berrettini,R,R,196.0,196.0,POL,ITA,25.8,26.7,10.0,16.0,2905.0,2375.0,12.0,11.0,1.0,1.0,79.0,77.0,49.0,49.0,36.0,37.0,16.0,18.0,14.0,14.0,1.0,2.0,4.0,4.0,B,0
2023-9900,United Cup,Hard,18,A,20230102,283,6-1 6-1,3,RR,57.0,207518,207415,,,,,Lorenzo Musetti,Daniel Michalski,R,R,185.0,180.0,ITA,POL,20.8,22.9,23.0,260.0,1865.0,204.0,8.0,1.0,0.0,1.0,31.0,40.0,18.0,28.0,17.0,12.0,11.0,5.0,7.0,7.0,0.0,4.0,0.0,9.0,A,1
