"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","surface_cluster_A","surface_cluster_B","predict_proba_R","predict_R"
20230814,"Cincinnati Masters","Hard",FALSE,"Max Purcell","Carlos Alcaraz",1407.24474457768,1945.38326629383,0,-538.138521716148,0,3,0.0405469163667464,0
20230828,"Us Open","Hard",TRUE,"Alexandre Muller","Novak Djokovic",1496.43652773662,1996.02918628312,0,-499.592658546496,3,3,0.0228407218928797,0
20231123,"Davis Cup Finals QF: SRB vs GBR","Hard",FALSE,"Cameron Norrie","Novak Djokovic",1552.74112057141,2027.90803877149,0,-475.166918200079,3,3,0.130107265740963,0
20230320,"Miami Masters","Hard",FALSE,"Facundo Bagnis","Carlos Alcaraz",1393.39259121204,1859.03800592441,0,-465.645414712369,1,3,0.0740043254234687,0
20230227,"Dubai","Hard",FALSE,"Tomas Machac","Novak Djokovic",1478.22211831767,1935.4658979038,0,-457.243779586132,1,3,0.0764539055736791,0
20230828,"Us Open","Hard",TRUE,"Dominik Koepfer","Carlos Alcaraz",1498.27012616267,1949.6101186653,0,-451.339992502633,2,3,0.0237113210758435,0
20230703,"Wimbledon","Grass",TRUE,"Jordan Thompson","Novak Djokovic",1475.52657834589,1920.17673519514,0,-444.65015684925,3,3,0.0344575322454573,0
20230116,"Australian Open","Hard",TRUE,"Roberto Carballes Baena","Novak Djokovic",1490.54980908171,1933.29031888878,0,-442.740509807072,1,3,0.018254911052822,0
20230529,"Roland Garros","Clay",TRUE,"Aleksandar Kovacevic","Novak Djokovic",1486.17439694846,1917.86931782303,0,-431.694920874574,2,3,0.0274779661322913,0
20230529,"Roland Garros","Clay",TRUE,"Flavio Cobolli","Carlos Alcaraz",1466.96837339813,1895.45927545273,0,-428.490902054596,1,3,0.0203292952435067,0
20230320,"Miami Masters","Hard",FALSE,"Roberto Carballes Baena","Daniil Medvedev",1441.14811578863,1860.18352624258,0,-419.035410453959,1,3,0.0885562460966406,0
20231002,"Shanghai Masters","Hard",FALSE,"Gregoire Barrere","Carlos Alcaraz",1509.49076204844,1924.20152954518,0,-414.710767496739,1,3,0.0900301920565468,0
20230529,"Roland Garros","Clay",TRUE,"Thiago Seyboth Wild","Daniil Medvedev",1489.92262942937,1903.50372260874,1,-413.581093179371,1,3,0.0227467187281386,0
20230828,"Us Open","Hard",TRUE,"Daniel Evans","Carlos Alcaraz",1544.04882499907,1954.81241988806,0,-410.763594888991,2,3,0.0321300901208898,0
20230828,"Us Open","Hard",TRUE,"Attila Balazs","Daniil Medvedev",1464.64272830518,1873.85513065451,0,-409.212402349321,0,3,0.0169565281391732,0
20230828,"Us Open","Hard",TRUE,"Matteo Arnaldi","Carlos Alcaraz",1537.03721114836,1945.67705762162,0,-408.639846473263,1,3,0.0236082025558313,0
20230320,"Miami Masters","Hard",FALSE,"Quentin Halys","Daniil Medvedev",1455.84604429278,1862.6510260362,0,-406.804981743413,3,3,0.16610478534194,0
20230814,"Cincinnati Masters","Hard",FALSE,"Jordan Thompson","Carlos Alcaraz",1555.05978047103,1952.04176616662,0,-396.981985695586,3,3,0.171886147295716,0
20230410,"Monte Carlo Masters","Clay",FALSE,"Ivan Gakhov","Novak Djokovic",1505.947644625,1900.08009713837,0,-394.132452513369,1,3,0.0973504049533749,0
20230424,"Madrid Masters","Clay",FALSE,"Andrea Vavassori","Daniil Medvedev",1490.49861071273,1880.46943748436,0,-389.970826771636,0,3,0.0729051703741235,0
20230724,"Hamburg","Clay",FALSE,"Daniel Altmaier","Andrey Rublev",1431.69163672099,1818.58046408656,1,-386.888827365563,1,3,0.10005102873588,0
20230529,"Roland Garros","Clay",TRUE,"Daniel Altmaier","Jannik Sinner",1389.2706455395,1768.99915021388,1,-379.728504674377,1,3,0.0293233952075843,0
20230828,"Us Open","Hard",TRUE,"Laslo Djere","Novak Djokovic",1620.45101055716,1991.47845207242,0,-371.027441515261,1,3,0.0312921424440626,0
20230320,"Miami Masters","Hard",FALSE,"Christopher Eubanks","Daniil Medvedev",1496.83986813014,1865.28272043582,0,-368.442852305683,3,3,0.189585801718821,0
20230306,"Indian Wells Masters","Hard",FALSE,"Jordan Thompson","Stefanos Tsitsipas",1420.96386224309,1784.41953786339,1,-363.455675620302,3,3,0.192818178682454,0
20230915,"Davis Cup Finals RR: ESP vs SRB","Hard",FALSE,"Alejandro Davidovich Fokina","Novak Djokovic",1637.45703648139,1997.62994226357,0,-360.172905782174,3,3,0.194968659504592,0
20230529,"Roland Garros","Clay",TRUE,"Marton Fucsovics","Novak Djokovic",1517.29327955747,1875.82753274953,0,-358.53425319206,3,3,0.0647829085762341,0
