match,result,result_detail,unreturned_pct,short_rally_srv_pts_won_pct,return_pts_won_pct,svimpact,blank,dont_know,blank,blank,blank,blank,blank,second_srv_unreturned_pct
2023 Davis Cup RR,1,W vs De Minaur,20.80%,0.27,59.50%,27.90%,29.40%,35.30%,62.50%,39.40%,43.80%,38.90%,100.00%,0.00%
2023 Davis Cup RR,1,W vs Djokovic,27.60%,0.36,50.00%,33.10%,41.50%,53.80%,50.00%,50.50%,46.70%,42.90%,33.30%,5.90%
2023 Davis Cup RR,1,W vs Griekspoor,48.00%,0.58,80.00%,53.20%,54.50%,66.70%,80.00%,62.40%,33.30%,50.00%,-,37.50%
2023 Tour Finals F,0,L vs Djokovic,25.70%,0.38,38.90%,29.10%,34.70%,44.90%,34.40%,39.80%,40.00%,58.30%,100.00%,8.30%
2023 Tour Finals SF,1,W vs Medvedev,28.80%,0.41,56.90%,35.10%,46.70%,68.30%,68.80%,57.50%,48.30%,61.30%,100.00%,7.00%
2023 Tour Finals RR,1,W vs Tsitsipas,41.20%,0.57,71.40%,48.40%,55.60%,69.40%,75.00%,65.80%,18.80%,70.00%,-,7.70%
2023 Tour Finals RR,1,W vs Djokovic,34.70%,0.40,54.70%,38.40%,45.10%,52.10%,61.50%,51.10%,59.40%,46.20%,50.00%,20.00%
2023 Paris R32,1,W vs Mcdonald,21.70%,0.41,73.00%,30.50%,29.20%,52.10%,79.40%,44.40%,37.50%,68.80%,-,12.10%
2023 Vienna F,1,W vs Medvedev,21.20%,0.35,49.50%,28.60%,29.10%,45.30%,49.20%,39.30%,64.30%,47.70%,57.10%,0.00%
2023 Vienna R32,1,W vs Shelton,32.40%,0.55,70.20%,44.10%,35.70%,58.90%,75.00%,50.50%,61.50%,46.70%,50.00%,21.40%
2023 Shanghai R32,1,W vs Baez,25.90%,0.42,57.10%,33.40%,38.80%,55.10%,70.00%,51.80%,39.10%,42.30%,50.00%,8.30%
2023 Beijing F,1,W vs Medvedev,22.70%,0.43,72.40%,35.90%,31.40%,60.80%,74.30%,50.80%,58.30%,77.80%,0.00%,4.20%
2023 Beijing SF,1,W vs Alcaraz,20.00%,0.25,48.30%,25.90%,28.90%,37.80%,53.10%,38.70%,47.60%,66.70%,57.10%,6.70%
2023 US Open R16,0,L vs Zverev,26.90%,0.37,48.20%,31.10%,39.80%,51.10%,47.20%,47.50%,43.20%,50.00%,60.00%,12.30%
2023 US Open R32,1,W vs Wawrinka,18.50%,0.27,55.20%,26.00%,28.40%,41.90%,60.40%,40.80%,57.10%,61.50%,25.00%,4.40%
2023 Canada F,1,W vs De Minaur,28.80%,0.37,55.90%,32.90%,46.20%,57.70%,50.00%,54.20%,54.50%,66.70%,100.00%,13.00%
2023 Canada SF,1,W vs Paul,31.40%,0.36,42.20%,32.90%,50.00%,56.30%,56.30%,53.10%,46.70%,47.10%,50.00%,17.10%
2023 Canada QF,1,W vs Monfils,27.00%,0.35,53.20%,32.50%,45.50%,56.80%,66.70%,56.60%,47.40%,40.00%,-,9.50%
2023 Canada R32,1,W vs Berrettini,31.70%,0.48,63.40%,40.80%,39.00%,61.00%,72.00%,52.90%,61.90%,55.00%,100.00%,20.00%
2023 Wimbledon SF,0,L vs Djokovic,24.40%,0.41,60.00%,33.30%,33.30%,51.90%,63.90%,48.10%,43.50%,58.10%,100.00%,12.10%
2023 Wimbledon QF,1,W vs Safiullin,37.50%,0.48,60.40%,43.10%,56.30%,66.70%,76.20%,66.50%,50.00%,50.00%,0.00%,15.80%
2023 Wimbledon R16,1,W vs Galan,39.80%,0.56,65.40%,46.10%,52.10%,72.90%,69.60%,63.70%,50.00%,50.00%,0.00%,25.60%
2023 Wimbledon R32,1,W vs Halys,40.80%,0.53,62.00%,47.30%,49.00%,65.30%,68.00%,62.00%,60.00%,41.70%,50.00%,39.00%
2023 Wimbledon R64,1,W vs Schwartzman,33.70%,0.42,57.40%,37.30%,53.20%,66.00%,59.10%,59.60%,50.00%,36.00%,50.00%,8.60%
