tourney_name,surface,winner_name,loser_name,score,w_ace,w_df,w_1stIn,w_1stWon,w_1stWon_rate,w_2ndWon,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,result
Adelaide 1,Hard,Sebastian Korda,Jannik Sinner,7-5 6-1,5,1,30,25,0.8333333333,12,8,3,34,23,6,0
Adelaide 1,Hard,Jannik Sinner,Thanasi Kokkinakis,7-6(2) 6-4,5,2,58,40,0.6896551724,12,9,3,45,33,13,1
Adelaide 1,Hard,Jannik Sinner,Kyle Edmund,6-3 6-2,5,1,25,23,0.92,13,1,2,21,15,11,1
Australian Open,Hard,Jannik Sinner,Kyle Edmund,6-4 6-0 6-2,6,2,54,44,0.8148148148,12,2,2,45,24,13,1
Australian Open,Hard,Jannik Sinner,Tomas Martin Etcheverry,6-3 6-2 6-2,6,3,42,37,0.880952381,16,6,1,40,24,11,1
Australian Open,Hard,Jannik Sinner,Marton Fucsovics,4-6 4-6 6-1 6-2 6-0,6,5,80,57,0.7125,25,3,4,85,45,14,1
Australian Open,Hard,Stefanos Tsitsipas,Jannik Sinner,6-4 6-4 3-6 4-6 6-3,12,3,121,81,0.6694214876,26,11,3,92,66,23,0
Montpellier,Hard,Jannik Sinner,Maxime Cressy,7-6(3) 6-3,4,1,38,33,0.8684210526,16,10,6,39,30,12,1
Montpellier,Hard,Jannik Sinner,Arthur Fils,7-5 6-2,5,1,34,28,0.8235294118,14,6,2,48,30,11,1
Montpellier,Hard,Jannik Sinner,Lorenzo Sonego,6-4 6-2,1,2,28,18,0.6428571429,17,3,0,43,26,6,1
Rotterdam,Hard,Daniil Medvedev,Jannik Sinner,5-7 6-2 6-2,4,1,59,44,0.7457627119,12,2,1,55,34,19,0
Rotterdam,Hard,Jannik Sinner,Tallon Griekspoor,7-5 7-6(5),7,1,39,32,0.8205128205,23,4,2,42,34,18,1
Rotterdam,Hard,Jannik Sinner,Stan Wawrinka,6-1 6-3,4,0,30,22,0.7333333333,13,2,1,22,13,4,1
Rotterdam,Hard,Jannik Sinner,Stefanos Tsitsipas,6-4 6-3,3,1,27,24,0.8888888889,13,1,3,32,22,14,1
Rotterdam,Hard,Jannik Sinner,Benjamin Bonzi,6-2 3-6 6-1,7,0,45,35,0.7777777778,18,8,3,65,37,18,1
