,tourney_name,surface,winner_name,loser_name,score,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,result
53,Adelaide 1,Hard,Sebastian Korda,Jannik Sinner,7-5 6-1,5.0,1.0,30.0,25.0,12.0,8.0,3.0,34.0,23.0,6.0,0
59,Adelaide 1,Hard,Jannik Sinner,Thanasi Kokkinakis,7-6(2) 6-4,5.0,2.0,58.0,40.0,12.0,9.0,3.0,45.0,33.0,13.0,1
71,Adelaide 1,Hard,Jannik Sinner,Kyle Edmund,6-3 6-2,5.0,1.0,25.0,23.0,13.0,1.0,2.0,21.0,15.0,11.0,1
183,Australian Open,Hard,Jannik Sinner,Kyle Edmund,6-4 6-0 6-2,6.0,2.0,54.0,44.0,12.0,2.0,2.0,45.0,24.0,13.0,1
235,Australian Open,Hard,Jannik Sinner,Tomas Martin Etcheverry,6-3 6-2 6-2,6.0,3.0,42.0,37.0,16.0,6.0,1.0,40.0,24.0,11.0,1
261,Australian Open,Hard,Jannik Sinner,Marton Fucsovics,4-6 4-6 6-1 6-2 6-0,6.0,5.0,80.0,57.0,25.0,3.0,4.0,85.0,45.0,14.0,1
274,Australian Open,Hard,Stefanos Tsitsipas,Jannik Sinner,6-4 6-4 3-6 4-6 6-3,12.0,3.0,121.0,81.0,26.0,11.0,3.0,92.0,66.0,23.0,0
341,Montpellier,Hard,Jannik Sinner,Maxime Cressy,7-6(3) 6-3,4.0,1.0,38.0,33.0,16.0,10.0,6.0,39.0,30.0,12.0,1
343,Montpellier,Hard,Jannik Sinner,Arthur Fils,7-5 6-2,5.0,1.0,34.0,28.0,14.0,6.0,2.0,48.0,30.0,11.0,1
347,Montpellier,Hard,Jannik Sinner,Lorenzo Sonego,6-4 6-2,1.0,2.0,28.0,18.0,17.0,3.0,0.0,43.0,26.0,6.0,1
355,Montpellier,Hard,Jannik Sinner,Marton Fucsovics,W/O,,,,,,,,,,,1
422,Rotterdam,Hard,Daniil Medvedev,Jannik Sinner,5-7 6-2 6-2,4.0,1.0,59.0,44.0,12.0,2.0,1.0,55.0,34.0,19.0,0
423,Rotterdam,Hard,Jannik Sinner,Tallon Griekspoor,7-5 7-6(5),7.0,1.0,39.0,32.0,23.0,4.0,2.0,42.0,34.0,18.0,1
425,Rotterdam,Hard,Jannik Sinner,Stan Wawrinka,6-1 6-3,4.0,0.0,30.0,22.0,13.0,2.0,1.0,22.0,13.0,4.0,1
429,Rotterdam,Hard,Jannik Sinner,Stefanos Tsitsipas,6-4 6-3,3.0,1.0,27.0,24.0,13.0,1.0,3.0,32.0,22.0,14.0,1
438,Rotterdam,Hard,Jannik Sinner,Benjamin Bonzi,6-2 3-6 6-1,7.0,0.0,45.0,35.0,18.0,8.0,3.0,65.0,37.0,18.0,1
525,Marseille,Hard,Arthur Fils,Jannik Sinner,W/O,,,,,,,,,,,0
628,Indian Wells Masters,Hard,Carlos Alcaraz,Jannik Sinner,7-6(4) 6-3,5.0,1.0,52.0,38.0,9.0,4.0,4.0,36.0,28.0,17.0,0
631,Indian Wells Masters,Hard,Jannik Sinner,Taylor Fritz,6-4 4-6 6-4,5.0,1.0,56.0,45.0,15.0,4.0,0.0,50.0,35.0,23.0,1
637,Indian Wells Masters,Hard,Jannik Sinner,Stan Wawrinka,6-1 6-4,5.0,0.0,31.0,21.0,20.0,1.0,1.0,34.0,20.0,11.0,1
648,Indian Wells Masters,Hard,Jannik Sinner,Adrian Mannarino,7-6(7) 6-4,6.0,4.0,33.0,27.0,22.0,1.0,2.0,38.0,27.0,21.0,1
670,Indian Wells Masters,Hard,Jannik Sinner,Richard Gasquet,6-3 7-6(2),9.0,1.0,35.0,31.0,17.0,5.0,4.0,38.0,29.0,11.0,1
722,Miami Masters,Hard,Daniil Medvedev,Jannik Sinner,7-5 6-3,9.0,6.0,37.0,32.0,12.0,6.0,0.0,35.0,24.0,9.0,0
723,Miami Masters,Hard,Jannik Sinner,Carlos Alcaraz,6-7(4) 6-4 6-2,8.0,4.0,66.0,45.0,21.0,5.0,9.0,62.0,41.0,21.0,1
726,Miami Masters,Hard,Jannik Sinner,Emil Ruusuvuori,6-3 6-1,4.0,2.0,22.0,21.0,12.0,2.0,0.0,35.0,23.0,6.0,1
