,player_name,surface,cluster
0,Abedallah Shelbayh,Clay,0
213,Abedallah Shelbayh,Grass,1
363,Abedallah Shelbayh,Hard,0
1,Adam Moundir,Clay,0
2,Adrian Mannarino,Clay,2
214,Adrian Mannarino,Grass,2
364,Adrian Mannarino,Hard,0
3,Albert Ramos,Clay,2
215,Albert Ramos,Grass,2
365,Albert Ramos,Hard,0
4,Alejandro Davidovich Fokina,Clay,2
216,Alejandro Davidovich Fokina,Grass,2
366,Alejandro Davidovich Fokina,Hard,0
5,Alejandro Tabilo,Clay,1
367,Alejandro Tabilo,Hard,2
6,Aleksandar Kovacevic,Clay,1
217,Aleksandar Kovacevic,Grass,1
368,Aleksandar Kovacevic,Hard,2
7,Aleksandar Vukic,Clay,1
218,Aleksandar Vukic,Grass,0
369,Aleksandar Vukic,Hard,2
8,Alessandro Giannessi,Clay,2
219,Alex Bolt,Grass,0
370,Alex Bolt,Hard,0
9,Alex De Minaur,Clay,0
220,Alex De Minaur,Grass,0
371,Alex De Minaur,Hard,0
221,Alex Michelsen,Grass,2
372,Alex Michelsen,Hard,2
10,Alex Molcan,Clay,2
222,Alex Molcan,Grass,1
373,Alex Molcan,Hard,0
374,Alex Rybakov,Hard,2
375,Alexandar Lazarov,Hard,1
376,Alexander Blockx,Hard,2
11,Alexander Bublik,Clay,1
223,Alexander Bublik,Grass,0
377,Alexander Bublik,Hard,2
12,Alexander Ritschard,Clay,2
378,Alexander Ritschard,Hard,2
13,Alexander Shevchenko,Clay,0
224,Alexander Shevchenko,Grass,1
379,Alexander Shevchenko,Hard,0
14,Alexander Zverev,Clay,1
225,Alexander Zverev,Grass,0
380,Alexander Zverev,Hard,2
15,Alexandre Muller,Clay,2
226,Alexandre Muller,Grass,1
381,Alexandre Muller,Hard,1
16,Alexei Popyrin,Clay,1
227,Alexei Popyrin,Grass,0
382,Alexei Popyrin,Hard,2
17,Alexey Vatutin,Clay,0
383,Alexis Galarneau,Hard,0
384,Alibek Kachmazov,Hard,0
18,Alvaro Lopez San Martin,Clay,2
19,Andrea Vavassori,Clay,2
228,Andrea Vavassori,Grass,0
385,Andres Martin,Hard,1
386,Andrey Kuznetsov,Hard,1
20,Andrey Rublev,Clay,1
229,Andrey Rublev,Grass,0
387,Andrey Rublev,Hard,2
21,Andy Murray,Clay,2
230,Andy Murray,Grass,2
388,Andy Murray,Hard,0
389,Antoine Bellier,Hard,1
22,Arthur Cazaux,Clay,2
390,Arthur Cazaux,Hard,2
231,Arthur Fery,Grass,2
23,Arthur Fils,Clay,1
232,Arthur Fils,Grass,0
391,Arthur Fils,Hard,2
