,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,result,player,rate_1stWon,bpSaved_rate,return_points_won,return_rate,return_pts_won_pct,serve_won_pct
0,2023-9900,United Cup,Hard,18,A,20230102,300,126203,3.0,0,Taylor Fritz,R,196.0,USA,25.1,126610,5.0,0,Matteo Berrettini,R,196.0,ITA,26.7,7-6(4) 7-6(6),3,F,135.0,15.0,2.0,85.0,52.0,45.0,16.0,12.0,0.0,0.0,7.0,2.0,97.0,62.0,47.0,15.0,12.0,9.0,9.0,9.0,3355.0,16.0,2375.0,1,Taylor Fritz,0.8653846153846154,0.0,35.0,0.36082474226804123,36.08247422680412,86.53846153846155
1,2023-9900,United Cup,Hard,18,A,20230102,299,126207,0.0,0,Frances Tiafoe,R,188.0,USA,24.9,207518,0.0,0,Lorenzo Musetti,R,185.0,ITA,20.8,6-2 0-0 RET,3,F,34.0,3.0,1.0,27.0,19.0,15.0,3.0,4.0,3.0,3.0,0.0,0.0,21.0,12.0,8.0,3.0,4.0,1.0,3.0,19.0,2000.0,23.0,1865.0,1,Frances Tiafoe,0.7894736842105263,1.0,10.0,0.47619047619047616,47.61904761904761,78.94736842105263
2,2023-9900,United Cup,Hard,18,A,20230102,296,126203,3.0,0,Taylor Fritz,R,196.0,USA,25.1,128034,2.0,0,Hubert Hurkacz,R,196.0,POL,25.8,7-6(5) 7-6(5),3,SF,104.0,11.0,0.0,80.0,50.0,44.0,19.0,12.0,4.0,4.0,17.0,1.0,82.0,62.0,51.0,7.0,12.0,2.0,2.0,9.0,3355.0,10.0,2905.0,1,Taylor Fritz,0.88,1.0,24.0,0.2926829268292683,29.268292682926827,88.0
3,2023-9900,United Cup,Hard,18,A,20230102,295,126207,0.0,0,Frances Tiafoe,R,188.0,USA,24.9,200390,0.0,0,Kacper Zuk,R,183.0,POL,23.9,6-3 6-3,3,SF,79.0,5.0,4.0,61.0,37.0,31.0,11.0,9.0,5.0,5.0,3.0,3.0,68.0,41.0,26.0,12.0,9.0,6.0,9.0,19.0,2000.0,245.0,220.0,1,Frances Tiafoe,0.8378378378378378,1.0,30.0,0.4411764705882353,44.11764705882353,83.78378378378379
4,2023-9900,United Cup,Hard,18,A,20230102,292,126774,1.0,0,Stefanos Tsitsipas,R,193.0,GRE,24.3,126610,5.0,0,Matteo Berrettini,R,196.0,ITA,26.7,4-6 7-6(2) 6-4,3,SF,155.0,9.0,1.0,98.0,52.0,43.0,28.0,16.0,1.0,2.0,7.0,2.0,89.0,58.0,48.0,18.0,16.0,1.0,2.0,4.0,5550.0,16.0,2375.0,1,Stefanos Tsitsipas,0.8269230769230769,0.5,23.0,0.25842696629213485,25.842696629213485,82.6923076923077
5,2023-9900,United Cup,Hard,18,A,20230102,291,207518,0.0,0,Lorenzo Musetti,R,185.0,ITA,20.8,208852,0.0,0,Stefanos Sakellaridis,R,196.0,GRE,18.3,6-1 6-1,3,SF,62.0,2.0,1.0,41.0,25.0,18.0,12.0,7.0,1.0,1.0,2.0,1.0,43.0,26.0,15.0,5.0,7.0,4.0,9.0,23.0,1865.0,803.0,23.0,1,Lorenzo Musetti,0.72,1.0,23.0,0.5348837209302325,53.48837209302325,72.0
6,2023-9900,United Cup,Hard,18,A,20230102,288,126774,1.0,0,Stefanos Tsitsipas,R,193.0,GRE,24.3,106432,8.0,0,Borna Coric,R,188.0,CRO,26.1,6-0 6-7(4) 7-5,3,RR,151.0,20.0,1.0,94.0,60.0,45.0,20.0,15.0,5.0,6.0,7.0,2.0,88.0,59.0,44.0,10.0,15.0,2.0,7.0,4.0,5550.0,26.0,1685.0,1,Stefanos Tsitsipas,0.75,0.8333333333333334,34.0,0.38636363636363635,38.63636363636363,75.0
7,2023-9900,United Cup,Hard,18,A,20230102,283,207518,0.0,0,Lorenzo Musetti,R,185.0,ITA,20.8,207415,0.0,0,Daniel Michalski,R,180.0,POL,22.9,6-1 6-1,3,RR,57.0,8.0,0.0,31.0,18.0,17.0,11.0,7.0,0.0,0.0,1.0,1.0,40.0,28.0,12.0,5.0,7.0,4.0,9.0,23.0,1865.0,260.0,204.0,1,Lorenzo Musetti,0.9444444444444444,0.0,23.0,0.575,57.49999999999999,94.44444444444444
8,2023-9900,United Cup,Hard,18,A,20230102,279,126207,0.0,0,Frances Tiafoe,R,188.0,USA,24.9,105554,0.0,0,Daniel Evans,R,175.0,GBR,32.6,3-6 7-5 6-3,3,RR,132.0,10.0,1.0,87.0,46.0,32.0,24.0,15.0,7.0,10.0,9.0,3.0,82.0,46.0,35.0,17.0,15.0,5.0,9.0,19.0,2000.0,27.0,1585.0,1,Frances Tiafoe,0.6956521739130435,0.7,30.0,0.36585365853658536,36.58536585365854,69.56521739130434
9,2023-9900,United Cup,Hard,18,A,20230102,276,126774,1.0,0,Stefanos Tsitsipas,R,193.0,GRE,24.3,105676,12.0,0,David Goffin,R,180.0,BEL,32.0,6-3 6-2,3,RR,78.0,12.0,1.0,61.0,39.0,27.0,12.0,9.0,4.0,5.0,2.0,1.0,49.0,33.0,22.0,4.0,8.0,2.0,6.0,4.0,5550.0,53.0,870.0,1,Stefanos Tsitsipas,0.6923076923076923,0.8,23.0,0.46938775510204084,46.93877551020408,69.23076923076923
